1,แร่ Bauxite ที่เป็นวัตถุดิบในการถลุงอะลูมิเนียม มีสารประกอบใดเป็นสารประกอบหลัก,Bayer,Al2O3,Al2(SO4)3 ,: Na3AlF6,none,2,none,none,none,none,none,none
2,เหล็กหล่อ หมายถึง เหล็กที่มีปริมาณของธาตุคาร์บอนผสมอยู่ระหว่างค่าดังข้อใด,0.022 - 6.7 % โดยน้ำหนัก,1.2 - 6.7 % โดยน้ำหนัก,2.0 - 4.3 % โดยน้ำหนัก,2.0 - 6.7 % โดยน้ำหนัก,none,4,none,none,none,none,none,none
3,เหล็กกล้าคาร์บอนปานกลาง มีปริมาณของธาตุคาร์บอนผสมอยู่เป็นปริมาณเท่าใด,0.40 % โดยปริมาตร,0.40 % โดยน้ำหนัก,0.04 % โดยปริมาตร,0.04 % โดยน้ำหนัก,none,2,none,none,none,none,none,none
4,เหล็กกล้าคาร์บอนต่ำ มักนิยมนำมาใช้ผลิตเป็นผลิตภัณฑ์ในข้อใด,ตัวถังรถยนต์,ลูกสูบ,มีดกลึง,ดอกสว่าน,none,1,none,none,none,none,none,none
5,เหล็กกล้าคาร์บอนปานกลางมีค่าความแข็ง (Hardness) เป็นอย่างไร เทียบกับเหล็กกล้าคาร์บอนสูงภายใต้เงื่อนไขสภาวะการอบชุบเหมือนกัน,น้อยกว่า,มากกว่า,เท่ากัน,ไม่สามารถระบุได้ว่าเป็นอย่างไร,none,1,none,none,none,none,none,none
6,ข้อใดต่อไปนี้ไม่ใช่วัตถุประสงค์ของการเติมธาตุโครเมียม (Cr) ในเหล็กกล้าผสมสูง (High alloy steels),เพิ่มความแข็งแรง ลดการผุกร่อน,เพิ่มความแข็ง,เพิ่มความเหนียว ขึ้นรูปง่าย,เพิ่มความสามารถในการต้านทานการคืบ (Creep),none,3,none,none,none,none,none,none
7,ในกระบวนการผลิตเหล็กหล่อเหนียว (Nodular cast iron) ธาตุใดที่เติมลงไปเพื่อทำให้แกรไฟต์รวมตัวกันเป็นอนุภาคทรงกลม,โครเมียม,ซีเรียม,คาร์บอน,โคบอลต์,none,2,none,none,none,none,none,none
8,ทองเหลือง (Brass) คือโลหะผสมของธาตุหลักธาตุใด,ทองแดง และเงิน,ทองแดง และดีบุก,ทองแดง และตะกั่ว,ทองแดง และสังกะสี,none,4,none,none,none,none,none,none
9,โลหะผสมสูงกลุ่มซูเปอร์อัลลอย (Superalloys) เช่น Nickel-based superalloys มักนิยมนำไปใช้งานใดในปัจจุบัน,ใบพัดในเครื่องกังหันก๊าซในเครื่องบินไอพ่น,อุปกรณ์ภายในเครื่องคอมพิวเตอร์เช่น ฮาร์ดดิสค์,ลูกสูบเครื่องยนต์,มีดกลึง,none,1,none,none,none,none,none,none
10,โลหะใดไม่ใช่โลหะทนไฟ (Refractory Metal),ทังสเตน,โมลิบดินัม,แทนทาลัม,เยอรมันเนียม,none,4,none,none,none,none,none,none
11,โลหะใดจัดเป็นโลหะมีสกุล (Noble Metal),ทังสเตน,แพลตินัม,ซิลิกอน,เยอรมันเนียม,none,2,none,none,none,none,none,none
12,โลหะใดจัดเป็นโลหะหนัก,แมกนีเซียม,อะลูมิเนียม,เบอริลเลียม,โมลิบดินัม,none,4,none,none,none,none,none,none
13,โลหะใดที่ไม่ควรนำมาเป็นภาชนะบรรจุอาหาร,อะลูมิเนียม,ตะกั่ว,ดีบุก,เหล็กกล้าไร้สนิม,none,2,none,none,none,none,none,none
14,โลหะใดไม่เหมาะสมสำหรับนำมาทำเป็นกระทะเพื่อปรุงอาหาร,อะลูมิเนียม,เหล็กกล้าไร้สนิม,ทองแดง,แมกนีเซียม,none,4,none,none,none,none,none,none
15,พิวเตอร์ (Pewter) คือ โลหะผสมใด,ดีบุกผสม,ทองแดงผสม,อะลูมิเนียมผสม,ไทเทเนียมผสม,none,1,none,none,none,none,none,none
16,โลหะใดที่นำมาใช้ทำเป็นชิ้นส่วนเครื่องบินน้อยที่สุด,ไทเทเนียม,อะลูมิเนียม,สังกะสี,นิกเกิล,none,3,none,none,none,none,none,none
17,เหล็กกล้าไร้สนิมเกรด 18-8 หมายถึง เหล็กกล้าที่ผสมโลหะชนิดใดเป็นปริมาณสูงสุดสองชนิดแรก,โครเมียม-นิเกิล,ไทเทเนียม-นิเกิล,โครเมียม-ซิลิกอน,ไทเทเนียม-ซิลิกอน,none,1,none,none,none,none,none,none
18,ผลิตภัณฑ์ใดที่ไม่สามารถใช้อะลูมิเนียมเป็นส่วนผสมหลักได้,วงล้อรถยนต์,ตัวถังรถยนต์,กระป๋องน้ำอัดลม,ไส้หลอดไฟ,none,4,none,none,none,none,none,none
19,เหล็กชนิดใดต่อไปนี้สามารถกลึงเพื่อตกแต่งขึ้นรูปได้ง่ายที่สุด,เหล็กกล้าชุบแข็ง,เหล็กหล่อขาว,เหล็กหล่อกราไฟต์กลม,เหล็กกล้าไร้สนิมเฟร์ไรต์,none,3,none,none,none,none,none,none
20,เหล็กกล้าชนิดใดมีสภาพดึงยืดได้ (Ductility) มากที่สุด ภายใต้สภาวะการอบชุบที่เหมือนกัน,เหล็กกล้าคาร์บอนต่ำ,เหล็กกล้าคาร์บอนปานกลาง,เหล็กกล้าคาร์บอนสูง,เหล็กกล้าเครื่องมือ,none,1,none,none,none,none,none,none
21,ในกระบวนการผลิตเหล็กหล่อเทา ธาตุใดที่ต้องเติมลงไปเพื่อทำให้คาร์บอนรวมตัวกันเป็นกราไฟต์,อะลูมิเนียม,ซิลิกอน,แคลเซียม,แมกนีเซียม,none,2,none,none,none,none,none,none
22,ข้อใดไม่ใช่สมบัติของเหล็กกล้าคาร์บอนต่ำ,มีความเหนียวสูง,สามารถตกแต่งขึ้นรูปได้ง่าย,สามารถชุบแข็งได้ง่าย,ไม่สามารถรับแรงกระแทกได้มาก,none,3,none,none,none,none,none,none
23,ข้อใดไม่ใช่สมบัติเด่นของอะลูมิเนียม,น้ำหนักเบา,ทนอุณหภูมิได้สูง,อ่อนแต่เหนียว,นำความร้อนได้ดี,none,2,none,none,none,none,none,none
24,บรอนซ์ คือ โลหะผสมชนิดใด,ทองแดงผสมดีบุก,อะลูมิเนียมผสมทองแดง,ดีบุกผสมตะกั่ว,นิเกิลผสมไทเทเนียม,none,1,none,none,none,none,none,none
25,ข้อใดคือลักษณะเด่นของเหล็กหล่อขาว,แข็ง ยากต่อการตกแต่ง,อ่อน เหนียว ตกแต่ง-ขึ้นรูปได้ง่าย,รับแรงอัดและแรงสั่นสะเทือนได้ดี,ไม่ทนต่อการเสียดสี,none,1,none,none,none,none,none,none
26,เหล็กหล่อเทาต่างจากเหล็กหล่อขาวอย่างไร,เหล็กหล่อเทามีซิลิกอนเป็นส่วนผสม แต่เหล็กหล่อขาวไม่มี,เหล็กหล่อเทามีกราไฟต์อิสระเป็นส่วนหนึ่งของโครงสร้าง แต่เหล็กหล่อขาวไม่มี,เหล็กหล่อเทามีความแข็งมากกว่าเหล็กหล่อขาว,เหล็กหล่อเทาสามารถรับแรงกระแทกได้น้อยกว่าเหล็กหล่อขาว,none,2,none,none,none,none,none,none
27,ในกระบวนการผลิตเหล็กหล่อกราไฟต์กลม ธาตุใดที่ต้องเติมลงไปเพื่อทำให้กราไฟต์อิสระเป็นทรงกลม,อะลูมิเนียม,ซิลิกอน,แคลเซียม,แมกนีเซียม,none,4,none,none,none,none,none,none
28,เหล็กกล้าผสมชนิดใดที่ไม่สามารถชุบแข็งได้ดี,เหล็กกล้าโมลิบดินัม,เหล็กกล้าไร้สนิมออสเทไนต์,เหล็กกล้าแมงกานีส,เหล็กกล้าโครเมียม,none,2,none,none,none,none,none,none
29,เหล็กกล้าถูกแบ่งแยกออกจากเหล็กหล่อด้วยปริมาณคาร์บอนกี่เปอร์เซ็นต์,0.01,0.02,0.03,0.04,none,2,none,none,none,none,none,none
30,ธาตุผสมใดที่มีส่วนสำคัญในการทำให้เหล็กกล้าไร้สนิมทนต่อการเกิดสนิมในบรรยากาศปกติ และต้องมีปริมาณธาตุอย่างน้อยสุดเท่าใด,13% โดยน้ำหนักโครเมียม,8% โดยน้ำหนักโครเมียม,13% โดยน้ำหนักนิเกิล,8% โดยน้ำหนักนิเกิล,none,1,none,none,none,none,none,none
31,ข้อความใดต่อไปนี้เป็นการกล่าวที่ถูกต้อง,เหล็กกล้า Hypoeutectoid plain-carbon คือเหล็กกล้าที่มีปริมาณคาร์บอนมากกว่า 0.8% โดยน้ำหนัก,เหล็กเส้นที่ใช้ในงานก่อสร้างทำจากเหล็กหล่อ,ธาตุที่มีบทบาทในการทำให้เหล็กกล้าไร้สนิมสามารถทนต่อการกัดกร่อนได้ดีคือโครเมียม,เหล็กหล่อเป็นโลหะผสมประเภท Ferrous ที่มีปริมาณคาร์บอนน้อยกว่า 2.4% โดยน้ำหนัก,none,3,none,none,none,none,none,none
32,โลหะใดต่อไปนี้มีจุดหลอมเหลวที่ต่ำที่สุด,ทองแดง,ทองแดงผสมสังกะสี,ทองแดงผสมเหล็ก,ทองแดงผสมนิเกิล,none,2,none,none,none,none,none,none
33,ชิ้นงานใดต่อไปนี้มีความแข็งแรงสูงสุด,เหล็กกล้าคาร์บอนต่ำชุบแข็ง,เหล็กกล้าคาร์บอนปานกลางชุบแข็ง,เหล็กกล้าผสมต่ำชุบแข็ง,เหล็กกล้าไร้สนิมออสเทไนต์ชุบแข็ง,none,3,none,none,none,none,none,none
34,โลหะชนิดใดต่อไปนี้ที่เหมาะสมสำหรับทำเครื่องยนต์ (Engine block) สำหรับรถแข่งมากที่สุด,เหล็กกล้า (Steel) เนื่องจากหล่อง่ายที่สุด,เหล็กกล้าไร้สนิม (Stainless steel) เพราะทนต่อการเกิดสนิมได้ดี,อะลูมิเนียมผสม (Aluminium alloy) เพราะมีน้ำหนักเบา,โลหะผสมยิ่งยวด (Superalloy) เพราะทนอุณหภูมิสูงได้ดี,none,3,none,none,none,none,none,none
35,วัสดุแม่เหล็กถาวรชนิดใดต่อไปนี้ที่ให้กำลังแม่เหล็กสูงสุด,เหล็กคาร์บอน,อัลนิโค (Alnico),เฟร์ไรต์ (Hard Ferrite),นิโอดิเมียม-บอรอน (NdFeB),none,4,none,none,none,none,none,none
36,โลหะชนิดใดต่อไปนี้สามารถนำมารีดเย็นเป็นแผ่นบางได้ง่ายที่สุด,อะลูมิเนียม,ทองแดง,ทองเหลือง,เหล็กกล้าไร้สนิม,none,1,none,none,none,none,none,none
37,โลหะชนิดใดต่อไปนี้ที่เหมาะสำหรับการผลิตวงล้อรถยนต์มากที่สุด,อะลูมิเนียมบริสุทธิ์,อะลูมิเนียมผสมซิลิคอน,อะลูมิเนียมผสมทองแดง,อะลูมิเนียมผสมแมงกานีส,none,2,none,none,none,none,none,none
38,โลหะชนิดใดต่อไปนี้ไม่เกิดสนิม,เหล็กกล้าไร้สนิม,ทองแดง,อะลูมิเนียม,ข้อ 1 2 และ 3 ผิด,none,4,none,none,none,none,none,none
39,เหล็กกล้าชนิดใดต่อไปนี้เหมาะสำหรับใช้งานที่อุณหภูมิสูง,เหล็กกล้าคาร์บอนสูง (High carbon steel),เหล็กกล้าไร้สนิมเฟร์ไรต์ (Ferritic stainless steel),เหล็กกล้าไร้สนิมออสเทไนต์ (Austenetic stainless steel),เหล็กกล้าไร้สนิมมาร์เทนไซต์ (Martensitic stainless steel),none,3,none,none,none,none,none,none
40,โลหะชนิดใดต่อไปนี้เหมาะสำหรับการผลิตถังไฮโดรเจนเหลวสำหรับยานอวกาศมากที่สุด,อะลูมิเนียมผสมทองแดง,อะลูมิเนียมผสมลิเทียม,อะลูมิเนียมผสมซิลิคอน,อะลูมิเนียมผสมสังกะสี,none,2,none,none,none,none,none,none
