1,"โครงมุมฉาก ABC ถูกยันไว้ด้วยแท่งโลหะที่จุด C ถูกตรึงไว้ที่จุด B ด้วยหมุด และมีเชือกผูกไว้ที่ จุด A ถ้าแรง P เป็นแรงภายนอกที่มากระทำที่ ปลายของโครง แผนภาพวัตถุอิสระ (Free Body Diagram, FBD) ข้อใดถูก",none,none,none,none,none,4,q1.png,a1.png,b1.png,c1.png,d1.png,none
2,ข้อใดที่เราไม่สามารถหาค่าแรงรองรับของสิ่งแวดล้อม (support reaction) ที่กระทำต่อวัตถุด้วยวิธีทางสถิตยศาสตร์เพียงอย่างเดียว หรือถามว่าปัญหาข้อใดมีลักษณะ statically indeterminate ตัวรองรับรูปวงกลมหมายถึงการวางวัสดุรองรับที่ไม่ติดกับวัตถุ (simple support) ตัวรองรับรูปสามเหลี่ยมหมายถึงยึดด้วยหมุด (pin joint),none,none,none,none,none,1,none,a2.png,b2.png,c2.png,d2.png,none
3,"จากรูปกลไกของเครื่องพิมพ์ดีดที่กำหนดให้ เราสามารถแยกส่วนประกอบ (member) เพื่อวาดรูปแผนภาพวัตถุอิสระ (Free Body Diagram, FBD) ชิ้นประกอบกี่ชิ้นที่รับแรง2แรง (2-force member)",5 ชิ้น,4 ชิ้น,3 ชิ้น,2 ชิ้น,none,1,q3.png,none,none,none,none,none
4,"จากรูปที่กำหนดให้ เราสามารถแยกส่วนประกอบ (member) เพื่อวาดรูปแผนภาพวัตถุอิสระ (Free Body Diagram, FBD) เพื่อหาแรงที่กระทำต่อส่วนประกอบทุกชิ้น เพื่อให้ได้ข้อมูลครบถ้วนสมบูรณ์ที่แสดงให้เห็นการแยกส่วนอย่างชัดเจน เราควรวาดรูป FBD กี่ภาพ",2 ภาพ,3 ภาพ,4 ภาพ,5 ภาพ,none,4,q4.png,none,none,none,none,none
5,"จากรูปที่กำหนดให้ เราสามารถแยกส่วนประกอบ (member) เพื่อวาดรูปแผนภาพวัตถุอิสระ (Free Body Diagram, FBD) เพื่อหาแรงที่กระทำต่อส่วนประกอบทุกชิ้น ชิ้นประกอบส่วนไหนที่เป็นชิ้นส่วนที่รับแรง 2 แรง (2-force member) ที่ชัดเจนมากที่สุด",none,none,none,none,none,3,q5.png,a5.png,b5.png,c5.png,d5.png,none
6,"แผนผังภาพวัตถุอิสระ (Free Body Diagram, FBD) ที่ถูกต้องที่สุดของชิ้นงาน AB คือข้อใด สมมติไม่คิดแรงเสียดทานที่สลัก C และ O",none,none,none,none,none,3,q6.png,a6.png,b6.png,c6.png,d6.png,none
7,แขวนน้ำหนักด้วยเชือกสามเส้นคล้องผ่านห่วง B ดังแสดงในรูป ข้อความใดเป็นจริง,แรงตึงในเชือก AB = 0,แรงตึงในเชือก AB = แรงตึงในเชือก BC,แรงตึงในเชือก AB > แรงตึงในเชือก BC,แรงตึงในเชือก AB < แรงตึงในเชือก BC,none,4,q7.png,none,none,none,none,none
8,ชิ้นงานอยู่ภายใต้แรงกด F ดังรูป ชิ้นงานจะมีภาระของระบบแรงอย่างไรที่ระนาบ A-A,none,none,none,none,none,4,q8.png,a8.png,b8.png,c8.png,d8.png,none
9,รูปในข้อใดต่อไปนี้สามารถแก้ปัญหาเพื่อหาแรงภายนอกและปฏิกิริยาทั้งหมดที่กระทำกับคานได้ด้วยวิธีการทาง สถิตยศาสตร์,none,none,none,none,none,3,none,a9.png,b9.png,c9.png,d9.png,none
10,จากโครงกรอบมวลเบาที่กำหนดให้ จงพิจารณาว่าแผนผัง วัตถุอิสระในข้อใดเขียนไม่ครบถ้วน,none,none,none,none,none,2,q10.png,a10.png,b10.png,c10.png,d10.png,none
11,จากโครงสร้างดังแสดงในรูป จงพิจารณาหาแรงปฏิกิริยาที่ A เมื่อ a = 180 mm,600N,500N,400N,300N,none,3,q11.png,none,none,none,none,none
