1	หน่วยเก็บความจำที่ติดต่อกับ CPU ได้เร็วที่สุดคืออะไร	CD-ROM	HARD DISK	SDRAM	REGISTER	none	4	none	none	none	none	none	none	1
2	ลำดับขั้นตอนการทำงานของคอมพิวเตอร์มีอย่างไร	เริ่ม คำนวณ ประกาศชนิดตัวแปร รับข้อมูล แสดงคำตอบ จบ	เริ่ม ประกาศชนิดตัวแปร รับข้อมูล คำนวณ แสดงคำตอบ จบ	เริ่ม รับข้อมูล ประกาศชนิดตัวแปร คำนวณ แสดงคำตอบ จบ	เริ่ม รับข้อมูล ประกาศชนิดตัวแปร แสดงคำตอบ คำนวณ จบ	none	2	none	none	none	none	none	none	1
3	ข้อใดต่อไปนี้คือคุณบัติ Portable ของการเขียนโปรแกรม	สามารถเขียนโปรแกรมได้สั้นที่สุด	สามารถเขียนโปรแกรมให้ประมวลผลได้เร็วที่สุด	สามารถเขียนโปรแกรมเพื่อทำงานข้ามเครือข่ายได้	สามารถย้ายโปรแกรมไปทำงานยังเครื่องคอมพิวเตอร์ต่างระบบได้	ถูกทุกข้อ	4	none	none	none	none	none	none	1
4	อะไรคือคุณสมบัติของหน่วยความจำประเภท ROM (Read Only Memory)	สามารถอ่าน และเขียนได้	สามารถอ่านได้อย่างเดียว	สามารถเขียนได้อย่างเดียว	ไม่สามารถอ่านและเขียนได้	ไม่มีข้อถูก	2	none	none	none	none	none	none	1
5	อะไรคือคุณสมบัติของ หน่วยความจำประเภท RAM (Random Access Memory)	สามารถอ่าน และเขียนได้	สามารถอ่านได้อย่างเดียว	สามารถเขียนได้อย่างเดียว	ไม่สามารถอ่านและเขียนได้	ไม่มีข้อถูก	4	none	none	none	none	none	none	1
6	ข้อมูล1 MB มีขนาดตรงกับข้อใด	1024 Byte	1000000 Byte	1048576 Byte	1024000 Byte	none	3	none	none	none	none	none	none	1
7	ข้อมูล 1 GB มีขนาดตรงกับข้อใด หมายเหตุ เครื่องหมาย ^ หมายถึงการยกกำลัง เช่น 4^2 KB หมายถึง 4 ยกกำลัง 2 KiloByte	10^3 KB	1024 KB	2^10 KB	2^20 KB	none	4	none	none	none	none	none	none	1
8	ทำไมคอมพิวเตอร์จึงใช้เลขฐานสองในการเก็บข้อมูล	คอมพิวเตอร์มีระดับ Voltage แค่ 2 ระดับ	คอมพิวเตอร์ประกอบด้วยวงจรอิเล็กทรอนิกส์ซึ่งมีลักษณะการทำงาน 2 โหมด เหมือนสวิทซ์ เปิด - ปิด	การใช้เลขเพียงแค่ 2 เลขในการเก็บข้อมูลทำให้คนสามารถติดต่อกับคอมพิวเตอร์ได้ง่ายขึ้น	ไม่มีข้อใดถูกต้อง	none	2	none	none	none	none	none	none	1
9	ข้อใดไม่ใช่หน่วยความจำคอมพิวเตอร์	Random-access memory	Read-only memory	Hard disk	Basic input/output system (BIOS)	none	3	none	none	none	none	none	none	1
10	คอมพิวเตอร์ประเภทใดมีประสิทธิภาพในการทำงานสูงสุด	คอมพิวเตอร์พกพา	เซิร์ฟเวอร์คอมพิวเตอร์	ซูเปอร์คอมพิวเตอร์	ไมโครคอมพิวเตอร์	none	3	none	none	none	none	none	none	1
11	ข้อใดคือส่วนประกอบหลักของคอมพิวเตอร์	หน่วยรับข้อมูล หน่วยประมวลผลกลาง หน่วยความจำหลัก หน่วยเก็บข้อมูลสำรอง และหน่วยแสดงผล	หน่วยรับข้อมูล หน่วยประมวลผลกลาง หน่วยความจำหลัก หน่วยความจำสำรอง และหน่วยแสดงผล	หน่วยรับข้อมูล หน่วยประมวลผลกลาง หน่วยความจำหลัก และหน่วยแสดงผล	หน่วยประมวลผลกลาง หน่วยความจำหลัก หน่วยเก็บข้อมูลสำรอง และหน่วยแสดงผล	none	1	none	none	none	none	none	none	1
12	จงพิจารณาว่าข้อความใดกล่าวถูกต้องสำหรับการทำงานของคำสั่งต่อไปนี้ 	ชนิดของข้อมูลตัวแปร d มีการเปลี่ยนแปลง	ค่าที่จัดเก็บในตัวแปร d มีการเปลี่ยนแปลง	ค่าที่จัดเก็บในตัวแปร i มีการเปลี่ยนแปลง	ค่าที่จัดเก็บในตัวแปร i และ d มีการเปลี่ยนแปลง	none	3	q12.png	none	none	none	none	none	1
13	คำสั่งใดที่ทำการเปลี่ยนแปลงค่าที่จัดเก็บในตัวแปร x	x +=3;	y=x+3;	x *=1;	x /=1;	none	1	none	none	none	none	none	none	1
14	ข้อใดคือหน้าที่ของ Compiler	ช่วยติดต่อกับอุปกรณ์คอมพิวเตอร์	ช่วยแก้ไขรหัสคำสั่งโปรแกรมให้ถูกต้อง	ช่วยจัดสรรทรัพยากรภายในระบบคอมพิวเตอร์ให้กับโปรแกรมต่าง ๆ	ช่วยแปลคำสั่งภาษาโปรแกรมต่าง ๆ ให้คอมพิวเตอร์เข้าใจและทำงานได้	none	4	none	none	none	none	none	none	1
15	ข้อใดต่อไปนี้คือความหมายของโปรแกรม	ชุดคำสั่งเพื่อทำให้คอมพิวเตอร์ปฏิบัติงาน	สัญลักษณ์ที่สื่อความหมายให้เครื่องคอมพิวเตอร์และคนสามารถสื่อสารกันได้โดยผ่านกรรมวิธีที่กำหนดขึ้น	ชุดของเลขฐานสองอาทิ 01101011 ที่คอมพิวเตอร์เข้าใจ	ถูกทุกข้อ	none	4	none	none	none	none	none	none	1
16	เครื่องคอมพิวเตอร์ในยุคที่ 2 ใช้เทคโนโลยีใด	ทรานซิสเตอร์ (Transistors)	หลอดแก้วสุญญากาศ (Vacuum tubes)	ไมโครโพรเซสเซอร์ (Microprocessors)	วงจรรวม (Integrated circuits)	none	1	none	none	none	none	none	none	1
17	การประมวลคำสั่งในลักษณะการทำงานแบบสายท่อ (pipelining) สอดคล้องกับข้อใด	การประมวลผลแบบแถวลำดับ (Array processing)	การประมวลผลแบบขนาน (Parallel processing)	สถาปัตยกรรม Von Neumann	ระบบหลายตัวประมวลผล (Multiprocessing)	none	3	none	none	none	none	none	none	1
18	ข้อใดเป็นความแตกต่างระหว่าง Compiler และ Interpreter ที่ถูกต้อง	Compiler ทำหน้าที่แปลภาษาคอมพิวเตอร์ทีละบรรทัด แต่ Interpreter จะแปลภาษาทั้งโปรแกรม	Compiler แปลได้เฉพาะภาษาเครื่อง แต่ Interpreter จะแปลได้ทุกภาษา	Compiler จะทำการแปลภาษาคอมพิวเตอร์ทั้งโปรแกรม แต่ Interpreter จะแปลภาษาคอมพิวเตอร์บรรทัดต่อบรรทัด	ในการ Debug โปรแกรม ควรใช้ Compiler ในการแปลมากกว่า Interpreter เพราะจะหาข้อผิดพลาดได้ง่ายกว่า	none	3	none	none	none	none	none	none	1
19	หลังจากที่ทำการเขียนโปรแกรมจนเสร็จเรียบร้อยแล้ว จะต้องคัดลอกไฟล์ใดหากต้องการนำโปรแกรมไปให้ผู้อื่นใช้งาน	Executable File	Source File	Object File	Library File	none	1	none	none	none	none	none	none	1
20	ข้อใดที่ไม่ใช่ส่วนประกอบของคอมพิวเตอร์	คีย์บอร์ด	เมาท์	จอภาพ	กล่องเก็บซอล์ฟแวร์	none	4	none	none	none	none	none	none	1
21	โปรแกรมคอมพิวเตอร์ใดที่มีลักษณะคล้ายโปรแกรมภาษาเครื่อง	COBAL	C	C++	ASSEMBLY	none	4	none	none	none	none	none	none	1
22	ข้อใดถูกต้องสำหรับการหาผลลัพธ์ในการประผวลผลข้อมูลในระบบคอมพิวเตอร์	หน่วยอินพุท	หน่วยเอาท์พุท	หน่วยความจำข้อมูล	หน่วยประมวลผลกลาง	none	4	none	none	none	none	none	none	1
23	การแปลภาษาเครื่องทีละลำดับหมายถึง	Translator	Result	Interpreter	Complier	none	3	none	none	none	none	none	none	1
24	โฟลว์ชาร์ทตามรูปข้างล่างนี้หมายถึง	ขบวนการประมวลผล	อินพุท เอาท์พุท	จุดเชื่อมต่อภายในหน้าเดียวกัน	การตัดสินใจ	none	4	q24.png	none	none	none	none	none	1
25	ข้อใดไม่ใช่หน่วยเก็บข้อมูลที่สามารถแก้ไขได้	RAM	ROM	Hard disk	CompactFlash	none	2	none	none	none	none	none	none	1
26	ข้อใดไม่ใช่ส่วนประกอบภายใน CPU ของไมโครคอมพิวเตอร์	Cache memory	ALU (Arithmetic Logic Unit)	Hard disk	Program Counter Register (PC)	none	3	none	none	none	none	none	none	1
27	ระบบปฏิบัติการ (Operating Systems) ตัวใดไม่ได้ถูกพัฒนาสำหรับเครื่องพีซี	Unix	Linux	Windows XP	Symbian	none	4	none	none	none	none	none	none	1
28	จาก pseudocode ต่อไปนี้ ผลลัพธ์ที่ได้คืออะไร	0	1	27	30	none	4	q28.png	none	none	none	none	none	1
29	"ถ้า run pseudocode ต่อไปนี้ 3 ครั้ง โดยกำหนดให้ input จาก user คือ 10, 3, 7 ตามลำดับ ผลลัพธ์ของค่า a ที่ได้ในแต่ละรอบคือ"	0 0 70	18 -7 0	9 10 -3	10 3 17	none	4	q29.png	none	none	none	none	none	1
30	ข้อใดบรรยายคุณลักษณะของ Random Access Memory (RAM) ที่ใช้ในเครื่องคอมพิวเตอร์ได้เหมาะสมที่สุด	ขนาดที่ใช้งานในเครื่องคอมพิวเตอร์ทั่วไปแบบตั้งโต๊ะคือ 40 Gbyte	ราคาถูกที่สุดเมื่อเทียบกับราคาของหน่วยความจำชนิดอื่น	ความเร็วในการทำงานช้ามากเมื่อเทียบกับการทำงานของหน่วยความจำชนิดอื่น	ข้อมูลที่เก็บจะสูญหายเมื่อปิดเครื่อง	none	4	none	none	none	none	none	none	1
31	ไวรัสคอมพิวเตอร์คืออะไร	เชื้อโรคชนิดหนึ่งที่ติดต่อระหว่างผู้ใช้งานทำให้เกิดการเจ็บป่วย ในขณะที่เข้าใช้งานตามร้านอินเตอร์เนตคาเฟ่	เชื้อโรคชนิดหนึ่งที่ติดต่อจากเครื่องคอมพิวเตอร์มายังผู้ใช้งาน แต่มีความรุนแรงไม่มาก	โปรแกรมคอมพิวเตอร์ที่ถูกพัฒนาขึ้นมาเพื่อใช้การตรวจสอบการทำงานระบบป้องกัน	โปรแกรมคอมพิวเตอร์ที่ประสงค์ร้ายต่อข้อมูลและการทำงานของเครื่องคอมพิวเตอร์ ซึ่งสามารถแพร่กระจายจากเครื่องสู่เครื่อง โดยการใช้งานร่วมกันของไฟล์ 	none	4	none	none	none	none	none	none	1
32	ข้อใดผิด	ฮาร์ดแวร์ของคอมพิวเตอร์คือสิ่งที่จับตัองได้ เช่นหน่วยประมวลผล	ฮาร์ดดิกส์เป็นฮาร์ดแวร์ชนิดหนึ่ง	ฮาร์ดแวร์ที่ขาดไม่ได้คือตัวแปลโปรแกรม	หน่วยความจำเป้นฮาร์ดแวร์ที่สำคัญ	none	3	none	none	none	none	none	none	1
33	ข้อใดไม่ใช่ชื่อ operating systems	Windows 2000	Windows Office	Windows XP	Linux	none	2	none	none	none	none	none	none	1
34	ข้อใดไม่ใช่ชึ่อภาษาคอมพิวเตอร์	Intel	JAVA	Basic	C	none	1	none	none	none	none	none	none	1
35	จงบอกว่าอุปกรณ์ใดต่อไปนี้ เป็นอุปกรณ์ประเภท standard output	printer	monitor	diskette	Key board	none	2	none	none	none	none	none	none	1
36	จงบอกว่าอุปกรณ์ใดต่อไปนี้ เป็นอุปกรณ์ประเภท standard input	printer	monitor	diskette	Keyboard	none	4	none	none	none	none	none	none	1
