1,เส้นแบบใด ใช้ในการแสดงเพื่อบอกศูนย์กลางของวงกลม,none,none,none,none,none,2,none,a1.png,b1.png,c1.png,d1.png,none
2,อัตราส่วน (scale) 1:3 หมายถึง,ขนาดในภาพเขียนจะใหญ่กว่าขนาดจริง 3 เท่า,ขนาดในภาพเขียนจะเล็กกว่าขนาดจริง 3 เท่า,การบอกขนาดในภาพเขียน จะระบุขนาดที่ใหญ่กว่าขนาดจริง 3 เท่า,การบอกขนาดในภาพเขียน จะระบุขนาดที่เล็กกว่าขนาดจริง 3 เท่า,none,2,none,none,none,none,none,none
3,เส้นเต็มบาง (Continuous thin line) ใช้ในกรณีใดได้บ้าง,เส้นรอบรูป ขอบที่เห็นชัด,เส้นรอบรูป ขอบที่ถูกบัง,เส้นลายตัด,เส้นผ่านศูนย์กลาง,none,3,none,none,none,none,none,none
4,"ในงานเขียนแบบที่ใช้กลุ่มเส้น 0.5, 0.35, และ 0.25 มิลลิเมตร การเขียนเส้นประ (เส้นขอบชิ้นงานที่ถูกบัง) ใช้ขนาดเส้นเท่าใด",0.5 มิลลิเมตร,0.35 มิลลิเมตร,0.25 มิลลิเมตร,ขนาดใดก็ได้,none,2,none,none,none,none,none,none
5,พื้นผิวระนาบเอียงที่ถูกกำหนดให้.........................กับระนาบหนึ่งระนาบของสามระนาบหลักในระบบพิกัดฉากจะ.......................กับอีกสองระนาบที่เหลือของระบบพิกัดฉาก,"ขนาน, ทำมุมเอียง","ตั้งฉาก, ทำมุมเอียง","ตั้งฉาก, ขนาน","ทำมุมเอียง, ขนาน",none,2,none,none,none,none,none,none
6,ขนาดกระดาษ A4 มีขนาดความกว้างและยาวเท่าไร,210 x 297,297 x 420,420 x 594,594 x 840,none,1,none,none,none,none,none,none
7,การเขียนเส้นผ่านศูนย์กลางของวงกลม ใช้เส้นใด,เส้นเต็มหนัก,เส้นเต็มบาง,เส้นศูนย์กลางเล็ก,เส้นศูนย์กลางใหญ่,none,3,none,none,none,none,none,none
8,ถ้าใช้เส้นศูนย์กลางใหญ่แทนเส้นศูนย์กลางเล็กในการเขียนแบบแล้วจะเกิดอะไรขึ้น,เหมือนเดิม,แบบแปรความหมายผิด,งานนั้นต้องการปรับปรุง,ต้องตรวจสอบขนาดตรงเส้นกำหนด,none,1,none,none,none,none,none,none
9,การเอียงของตัวอักษรที่เหมาะสมควรเอียง,15 องศา กับแนวดิ่งเอียงด้านหน้า,75 องศา กับแนวดิ่งเอียงด้านหลัง,15 องศา กับแนวดิ่งเอียงด้านหลัง,75 องศา กับแนวนอนเอียงด้านหน้า,none,3,none,none,none,none,none,none
10,"คำว่า ""King"" เมื่ออักษร ""K"" สูง 10 ม.ม อักษร ""ing"" สูงเท่าใด",7 ม.ม.,5 ม.ม.,3 ม.ม.,2.5 ม.ม.,none,1,none,none,none,none,none,none
